Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Chronic Obstructive Airway Disease	C0024117	CFAP221	200373	Q4G0U5	cilia and flagella associated protein 221		7	0.805	0.231	8.7186e-17	0.1		1.0	1	1	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	ALB	213	P02768	albumin	Transporter	1198	0.317	0.962	0.64329	0.1		1.0	10	0	2017.0	2020.0
Chronic Obstructive Airway Disease	C0024117	JMJD1C	221037	Q15652	jumonji domain containing 1C		214	0.517	0.769	1.0	0.1			0	0		
Chronic Obstructive Airway Disease	C0024117	SYCP2L	221711	Q5T4T6	synaptonemal complex protein 2 like		8	0.839	0.154	3.0127e-23	0.1		1.0	1	2	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	ATXN7L1	222255	Q9ULK2	ataxin 7 like 1		9	0.89	0.154	0.99884	0.1		1.0	1	1	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	FGL1	2267	Q08830	fibrinogen like 1	Signaling	53	0.638	0.692	1.6765e-25	0.1		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	FBXL7	23194	Q9UJT9	F-box and leucine rich repeat protein 7		15	0.769	0.346	0.31497	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	ASTN2	23245	O75129	astrotactin 2		51	0.666	0.462	0.99971	0.1		1.0	2	2	2011.0	2019.0
Chronic Obstructive Airway Disease	C0024117	USP24	23358	Q9UPU5	ubiquitin specific peptidase 24		23	0.76	0.231	1.0	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	SIRT1	23411	Q96EB6	sirtuin 1	Epigenetic regulator	675	0.378	0.885	0.087326	0.1		0.955	22	0	2008.0	2020.0
Chronic Obstructive Airway Disease	C0024117	ZFPM2	23414	Q8WW38	zinc finger protein, FOG family member 2	Transcription factor	142	0.565	0.731	1.0	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	POFUT1	23509	Q9H488	protein O-fucosyltransferase 1		45	0.65	0.538	0.96303	0.1		1.0	1	1	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	NNT	23530	Q13423	nicotinamide nucleotide transhydrogenase	Enzyme	88	0.601	0.577	0.97271	0.1		1.0	1	5	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	ZBTB38	253461	Q8NAP3	zinc finger and BTB domain containing 38	Transcription factor	60	0.663	0.615	0.99949	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MMS22L	253714	Q6ZRQ5	MMS22 like, DNA repair protein		9	0.861	0.154	8.3003e-05	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	NIFK-AS1	254128		NIFK antisense RNA 1		6	0.89	0.115		0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	GABPA	2551	Q06546	GA binding protein transcription factor subunit alpha	Transcription factor	632	0.379	0.885	0.99812	0.1		1.0	21	0	2010.0	2019.0
Chronic Obstructive Airway Disease	C0024117	COPD	260431		Pulmonary disease, chronic obstructive, severe early-onset		349	0.456	0.885		0.1		0.978	179	0	1996.0	2020.0
Chronic Obstructive Airway Disease	C0024117	CCDC69	26112	A6NI79	coiled-coil domain containing 69		7	1.0	0.038	4.9125e-12	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PTPN22	26191	Q9Y2R2	protein tyrosine phosphatase non-receptor type 22		400	0.438	0.846	3.4921e-21	0.1			0	0		
Chronic Obstructive Airway Disease	C0024117	GC	2638	P02774	GC vitamin D binding protein	Transporter	219	0.489	0.885	2.7301e-11	0.1		1.0	17	2	1997.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GLA	2717	P06280	galactosidase alpha		190	0.537	0.769	0.99675	0.1			0	1		
Chronic Obstructive Airway Disease	C0024117	RBMS3	27303	Q6XE24	RNA binding motif single stranded interacting protein 3		116	0.553	0.692	0.2128	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	HPGDS	27306	O60760	hematopoietic prostaglandin D synthase		570	0.388	0.923	1.8063e-06	0.1		1.0	16	0	1999.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TNRC6A	27327	Q8NDV7	trinucleotide repeat containing adaptor 6A		39	0.674	0.346	1.0	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	EML4	27436	Q9HC35	EMAP like 4		100	0.569	0.577	0.00048242	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GM2A	2760	P17900	GM2 ganglioside activator	Transporter	66	0.678	0.692	0.03103	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GP1BB	2812	P13224	glycoprotein Ib platelet subunit beta		192	0.524	0.769	0.51249	0.1			0	0		
Chronic Obstructive Airway Disease	C0024117	CRACR2B	283229	Q8N4Y2	calcium release activated channel regulator 2B		3	0.931	0.077	3.6358e-11	0.1		1.0	1	1	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	HNF1A-AS1	283460		HNF1A antisense RNA 1		70	0.621	0.538		0.1		1.0	1	1	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	LAMA1	284217	P25391	laminin subunit alpha 1		107	0.582	0.808	3.2248e-32	0.1		1.0	12	0	2017.0	2020.0
Chronic Obstructive Airway Disease	C0024117	NWD1	284434	Q149M9	NACHT and WD repeat domain containing 1		10	0.805	0.192	1.49e-26	0.1		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	C1orf185	284546	Q5T7R7	chromosome 1 open reading frame 185		6	0.89	0.115	5.0044e-07	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	GRIK4	2900	Q16099	glutamate ionotropic receptor kainate type subunit 4	Ion channel	41	0.678	0.423	0.11126	0.1		1.0	1	3	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	GSTM1	2944	P09488	glutathione S-transferase mu 1		627	0.38	0.923	0.0020641	0.1		0.889	18	0	2000.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GSTP1	2950	P09211	glutathione S-transferase pi 1		610	0.383	0.923	0.014155	0.1		1.0	16	2	1999.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GSTT1	2952	P30711	glutathione S-transferase theta 1		541	0.393	0.923	0.00014834	0.1		0.846	13	0	2004.0	2019.0
Chronic Obstructive Airway Disease	C0024117	GTF2I	2969	P78347	general transcription factor IIi		249	0.5	0.808	0.99592	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	HOOK2	29911	Q96ED9	hook microtubule tethering protein 2	Enzyme modulator	50	0.659	0.654	4.6471e-18	0.1		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	CFH	3075	P08603	complement factor H		393	0.441	0.885	0.86061	0.1		1.0	1	20	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	ANXA5	308	P08758	annexin A5		283	0.458	0.769	3.7978e-15	0.1		1.0	1	1	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	NRG1	3084	Q02297	neuregulin 1	Signaling	304	0.464	0.885	0.99665	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	HIF1A	3091	Q16665	hypoxia inducible factor 1 subunit alpha	Transcription factor	1044	0.327	0.923	0.9777	0.1		0.933	15	3	2012.0	2020.0
Chronic Obstructive Airway Disease	C0024117	HLA-B	3106	P01889	major histocompatibility complex, class I, B		706	0.379	0.885	3.8642e-05	0.1		1.0	1	1	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	ANXA11	311	P50995	annexin A11		57	0.65	0.692	4.7001e-10	0.1		1.0	1	1	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	HSBP1	3281	O75506	heat shock factor binding protein 1		4	1.0	0.038	0.23354	0.1		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	TAFA2	338811	Q8N3H0	TAFA chemokine like family member 2		15	0.78	0.192	0.34104	0.1		1.0	2	2	2014.0	2015.0
Chronic Obstructive Airway Disease	C0024117	OR6F1	343169	Q8NGZ6	olfactory receptor family 6 subfamily F member 1		1	1.0	0.038	0.00069042	0.1		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	IFNG	3458	P01579	interferon gamma		1519	0.288	0.962	0.47156	0.1		1.0	11	0	2011.0	2019.0
Chronic Obstructive Airway Disease	C0024117	BMP8A	353500	Q7Z5Y6	bone morphogenetic protein 8a		13	0.839	0.154	1.9786e-06	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IL1A	3552	P01583	interleukin 1 alpha		1002	0.333	0.962	0.0001602	0.1		0.929	14	0	2000.0	2020.0
Chronic Obstructive Airway Disease	C0024117	IL1B	3553	P01584	interleukin 1 beta		1801	0.276	0.962	0.13005	0.1		0.941	34	1	2000.0	2020.0
Chronic Obstructive Airway Disease	C0024117	IL5	3567	P05113	interleukin 5		359	0.437	0.846	0.0056529	0.1		1.0	12	0	2001.0	2020.0
Chronic Obstructive Airway Disease	C0024117	IL10	3586	P22301	interleukin 10		1679	0.281	0.923	0.0058874	0.1		0.905	21	0	2005.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IL13	3596	P35225	interleukin 13		587	0.386	0.846	0.014426	0.1		0.962	26	4	2000.0	2020.0
Chronic Obstructive Airway Disease	C0024117	IL18	3606	Q14116	interleukin 18		750	0.365	0.923	0.030717	0.1		1.0	10	0	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CXCL10	3627	P02778	C-X-C motif chemokine ligand 10	Signaling	631	0.378	0.885	0.36865	0.1		1.0	11	1	2002.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ITGA1	3672	P56199	integrin subunit alpha 1		58	0.644	0.654	2.6124e-16	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ITGB8	3696	P26012	integrin subunit beta 8	Receptor	51	0.65	0.462	0.99767	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ITPK1	3705	Q13572	inositol-tetrakisphosphate 1-kinase	Kinase	30	0.76	0.346	0.99389	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	EFCAB5	374786	A4FU69	EF-hand calcium binding domain 5		3	0.931	0.077	4.1975e-23	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	KCNMA1	3778	Q12791	potassium calcium-activated channel subfamily M alpha 1	Ion channel	205	0.518	0.846	0.99731	0.1		1.0	1	1	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	TNPO1	3842	Q92973	transportin 1	Transporter	35	0.691	0.538	1.0	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MIR99AHG	388815		mir-99a-let-7c cluster host gene		17	0.78	0.192		0.1		1.0	1	1	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	LINC01118	388948		long intergenic non-protein coding RNA 1118		11	0.89	0.154	1.9119e-09	0.1		1.0	1	1	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	CASC15	401237		cancer susceptibility 15		90	0.603	0.577		0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	LPO	4025	P22079	lactoperoxidase	Enzyme	32	0.678	0.577	7.4989e-17	0.1		1.0	1	3	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	ARVCF	421	O00192	ARVCF delta catenin family member	Cellular structure	151	0.54	0.769	5.0422e-11	0.1			0	0		
Chronic Obstructive Airway Disease	C0024117	MFAP2	4237	P55001	microfibril associated protein 2		22	0.769	0.423	4.2671e-06	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MMP12	4321	P39900	matrix metallopeptidase 12	Enzyme	216	0.484	0.885		0.1		1.0	30	6	2002.0	2020.0
Chronic Obstructive Airway Disease	C0024117	SUZ12P1	440423		SUZ12 pseudogene 1		11	0.89	0.115		0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	LINC02869	440714		long intergenic non-protein coding RNA 2869		5	1.0	0.038	0.095863	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IRF1-AS1	441108	Q8N8D9	IRF1 antisense RNA 1		44	0.67	0.385	0.0041687	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PLF	450095		Pulmonary function		124	0.544	0.731		0.1		0.938	16	0	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MYH7	4625	P12883	myosin heavy chain 7		257	0.516	0.692	4.2385e-16	0.1			0	0		
Chronic Obstructive Airway Disease	C0024117	NCF2	4688	P19878	neutrophil cytosolic factor 2	Enzyme	90	0.601	0.692	4.0054e-07	0.1			0	0		
Chronic Obstructive Airway Disease	C0024117	NCF4	4689	Q15080	neutrophil cytosolic factor 4		58	0.644	0.615	9.0248e-08	0.1			0	0		
Chronic Obstructive Airway Disease	C0024117	RERE	473	Q9P2R6	arginine-glutamic acid dipeptide repeats		215	0.526	0.846	1.0	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	DELEC1	50514	Q9P2X7	deleted in esophageal cancer 1		92	0.573	0.692	2.6727e-05	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	PCDH9	5101	Q9HC56	protocadherin 9		35	0.682	0.5	0.80865	0.1		1.0	1	1	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	PCM1	5108	Q15154	pericentriolar material 1		44	0.644	0.615	3.7067e-16	0.1		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	PLCE1	51196	Q9P212	phospholipase C epsilon 1	Enzyme	114	0.572	0.654	5.6754e-11	0.1		1.0	1	1	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	RSRC1	51319	Q96IZ7	arginine and serine rich coiled-coil 1		66	0.65	0.462	7.4539e-05	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PDE4A	5141	P27815	phosphodiesterase 4A		168	0.523	0.846	0.98167	0.1		1.0	27	0	2004.0	2019.0
Chronic Obstructive Airway Disease	C0024117	HDAC7	51564	Q8WUI4	histone deacetylase 7	Epigenetic regulator	77	0.597	0.654	0.99969	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SERPINE2	5270	P07093	serpin family E member 2	Enzyme modulator	87	0.592	0.692	0.7299	0.1		0.667	12	5	2006.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PIK3CA	5290	P42336	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	Kinase	1511	0.292	0.923	1.0	0.1		1.0	11	0	2012.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PIK3CD	5293	O00329	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	Kinase	1119	0.319	0.885	0.99999	0.1		1.0	12	0	2010.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PITPNA	5306	Q00169	phosphatidylinositol transfer protein alpha	Transporter	5	0.89	0.231	0.96513	0.1		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	BTBD1	53339	Q9H0C5	BTB domain containing 1	Enzyme	4	1.0	0.038	0.00011935	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	RAB4B	53916	P61018	RAB4B, member RAS oncogene family		8	0.89	0.192	0.67089	0.1		1.0	2	2	2012.0	2017.0
Chronic Obstructive Airway Disease	C0024117	SNTG2	54221	Q9NY99	syntrophin gamma 2		5	0.89	0.077	1.3092e-14	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	GDAP1	54332	Q8TB36	ganglioside induced differentiation associated protein 1		96	0.612	0.538	3.2448e-08	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	PPARG	5468	P37231	peroxisome proliferator activated receptor gamma	Nuclear receptor	877	0.358	0.885	0.029194	0.1		1.0	11	2	2008.0	2019.0
Chronic Obstructive Airway Disease	C0024117	FEV	54738	Q99581	FEV transcription factor, ETS family member	Transcription factor	86	0.593	0.692	0.0081114	0.1		0.933	45	2	2000.0	2018.0
Chronic Obstructive Airway Disease	C0024117	TET2	54790	Q6N021	tet methylcytosine dioxygenase 2		362	0.458	0.808	4.3334e-54	0.1		1.0	2	1	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	BNC2	54796	Q6ZN30	basonuclin 2	Nucleic acid binding	72	0.612	0.615	0.92762	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	BCAS3	54828	Q9H6U6	BCAS3 microtubule associated cell migration factor		44	0.716	0.538	0.00013819	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	CASZ1	54897	Q86V15	castor zinc finger 1	Transcription factor	132	0.553	0.731	1.0	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MKS1	54903	Q9NXB0	MKS transition zone complex subunit 1	Extracellular structure	231	0.505	0.769	3.3768e-16	0.1		1.0	1	3	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	RNF220	55182	Q5VTB9	ring finger protein 220		4	1.0	0.038	0.99958	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CCDC91	55297	Q7Z6B0	coiled-coil domain containing 91		33	0.729	0.423	3.8084e-06	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SLC30A10	55532	Q6XR72	solute carrier family 30 member 10	Transporter	120	0.578	0.654	0.97952	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	FGD6	55785	Q6ZV73	FYVE, RhoGEF and PH domain containing 6	Enzyme modulator	8	0.792	0.192	2.4019e-08	0.1		1.0	1	2	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PRKCB	5579	P05771	protein kinase C beta	Kinase	317	0.453	0.885	1.0	0.1		1.0	1	5	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	PKN2	5586	Q16513	protein kinase N2	Kinase	29	0.711	0.423	1.0	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CCL28	56477	Q9NRJ3	C-C motif chemokine ligand 28		85	0.587	0.769	0.051599	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	C1GALT1	56913	Q9NS00	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1		44	0.67	0.538	0.76313	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PDSS2	57107	Q86YH6	decaprenyl diphosphate synthase subunit 2		83	0.626	0.577	4.3743e-08	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	ADAMTSL3	57188	P82987	ADAMTS like 3	Enzyme	35	0.729	0.346	1.3662e-19	0.1		1.0	1	2	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ADGRG6	57211	Q86SQ4	adhesion G protein-coupled receptor G6	G-protein coupled receptor	65	0.666	0.385	6.6088e-05	0.1		1.0	3	1	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PTGS2	5743	P35354	prostaglandin-endoperoxide synthase 2	Enzyme	1234	0.314	0.962	0.99597	0.1		0.8	10	1	2004.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MICAL3	57553	Q7RTP6	microtubule associated monooxygenase, calponin and LIM domain containing 3		17	0.792	0.269	0.99499	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TSHZ3	57616	Q63HK5	teashirt zinc finger homeobox 3	Transcription factor	26	0.711	0.423	0.99053	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	RARB	5915	P10826	retinoic acid receptor beta	Nuclear receptor	254	0.478	0.846	0.99983	0.1		1.0	2	1	2017.0	2019.0
Chronic Obstructive Airway Disease	C0024117	RNPEP	6051	Q9H4A4	arginyl aminopeptidase		36	0.705	0.385	2.6051e-17	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	RREB1	6239	Q92766	ras responsive element binding protein 1		227	0.5	0.808	1.0	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CCL2	6347	P13500	C-C motif chemokine ligand 2	Signaling	1157	0.321	0.962	0.60786	0.1		0.933	15	0	2000.0	2018.0
Chronic Obstructive Airway Disease	C0024117	SFTPB	6439	P07988	surfactant protein B		108	0.575	0.654	0.00025934	0.1		0.8	10	3	2002.0	2014.0
Chronic Obstructive Airway Disease	C0024117	HHIP	64399	Q96QV1	hedgehog interacting protein		122	0.55	0.654	0.95436	0.1		1.0	25	2	2009.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SGCD	6444	Q92629	sarcoglycan delta	Cellular structure	68	0.641	0.615	0.0020725	0.1		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	LINC00598	646982		long intergenic non-protein coding RNA 598		24	0.743	0.192		0.1		1.0	1	1	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	PCDH15	65217	Q96QU1	protocadherin related 15		94	0.601	0.577	8.0283e-25	0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	NCF1	653361	P14598	neutrophil cytosolic factor 1		170	0.521	0.808	2.8311e-05	0.1			0	0		
Chronic Obstructive Airway Disease	C0024117	BTC	685	P35070	betacellulin	Signaling	51	0.644	0.577	0.062276	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TBX1	6899	O43435	T-box transcription factor 1	Transcription factor	417	0.433	0.808	0.83661	0.1			0	0		
Chronic Obstructive Airway Disease	C0024117	TGFB2	7042	P61812	transforming growth factor beta 2	Signaling	389	0.433	0.885	0.99905	0.1		1.0	1	1	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	THRA	7067	P10827	thyroid hormone receptor alpha	Nuclear receptor	124	0.566	0.769	0.32748	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TLR2	7097	O60603	toll like receptor 2		749	0.361	0.923	1.0152e-06	0.1		1.0	16	2	2005.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TLR4	7099	O00206	toll like receptor 4		1174	0.321	0.962	4.6131e-09	0.1		0.947	19	4	2007.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TOP2B	7155	Q02880	DNA topoisomerase II beta		58	0.612	0.615	0.99989	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PPIEL	728448		peptidylprolyl isomerase E like pseudogene		12	0.931	0.077		0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	AMD1P3	728931		adenosylmethionine decarboxylase 1 pseudogene 3		2	1.0	0.038		0.1		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	HIRA	7290	P54198	histone cell cycle regulator	Nucleic acid binding	157	0.537	0.808	1.0	0.1			0	0		
Chronic Obstructive Airway Disease	C0024117	DIRC3	729582		disrupted in renal carcinoma 3		16	0.78	0.308	3.4129e-07	0.1		1.0	1	1	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	LINC00886	730091		long intergenic non-protein coding RNA 886		6	0.931	0.115		0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	UFD1	7353	Q92890	ubiquitin recognition factor in ER associated degradation 1		148	0.537	0.769	0.99638	0.1			0	0		
Chronic Obstructive Airway Disease	C0024117	WAS	7454	P42768	WASP actin nucleation promoting factor	Cellular structure	204	0.529	0.808	0.99901	0.1			0	0		
Chronic Obstructive Airway Disease	C0024117	ZKSCAN1	7586	P17029	zinc finger with KRAB and SCAN domains 1		23	0.78	0.231	0.96937	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SLMAP	7871	Q14BN4	sarcolemma associated protein	Chaperone	36	0.686	0.462	0.99976	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CYBC1	79415	Q9BQA9	cytochrome b-245 chaperone 1		28	0.736	0.462	0.0006032	0.1			0	0		
Chronic Obstructive Airway Disease	C0024117	SPAG16	79582	Q8N0X2	sperm associated antigen 16	Cellular structure	17	0.76	0.385	1.4037e-34	0.1		1.0	1	5	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	SYNPO2L	79933	Q9H987	synaptopodin 2 like	Cellular structure	7	0.89	0.115	2.7515e-10	0.1		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	DENND2D	79961	Q9H6A0	DENN domain containing 2D		22	0.736	0.154	0.00081369	0.1		1.0	1	1	2019.0	2019.0
